date,ws,wd,air_temp,atmos_pres,RH,Y,M,W,D,pm
2021/2/24,1.178571429,150,-0.632142857,1025.6125,63.39350225,2021,2,8,55,43.3218599
2021/2/25,1.535714286,175.3658537,1.976785714,1026.75,63.85833787,2021,2,8,56,80.84515261
2021/2/26,1.857142857,165.3191489,3.392857143,1026.4625,61.87231088,2021,2,8,57,135.2916667
2021/2/27,1.821428571,131.2820513,6.051785714,1023.3125,47.46830634,2021,2,8,58,122.0173611
2021/2/28,2.117857143,63.48648649,3.035714286,1025.975,88.05685131,2021,2,8,59,100.3263889
2021/3/1,3.125,161.6,2.548214286,1028.7,62.54613388,2021,3,9,60,23.23067633
2021/3/2,2.267857143,152.3404255,3.216071429,1025.0375,74.26712067,2021,3,9,61,60.25060386
2021/3/3,1.25,108.1481481,5.210714286,1018.1,77.43074854,2021,3,9,62,116.2601147
2021/3/4,1.188679245,198.2142857,5.616071429,1016.425,83.01305904,2021,3,9,63,152.3780788
2021/3/5,3.160714286,158,4.201785714,1029.325,51.44204339,2021,3,9,64,121.1770833
2021/3/6,2.428571429,150.3773585,0.242857143,1035.2875,50.49312863,2021,3,9,65,23.37121212
2021/3/7,2.053703704,148.2820513,2.466071429,1028.9,62.77625485,2021,3,9,66,56.1875
2021/3/8,1.714285714,201.1627907,3.835714286,1024.95,61.65234688,2021,3,10,67,86.98565821
2021/3/9,1.490909091,190,7.476785714,1024.9,62.92806815,2021,3,10,68,142.4319143
2021/3/10,1.981818182,146.8085106,9.8,1023.5625,70.20169183,2021,3,10,69,199.9003898
2021/3/11,2.672727273,154.0425532,13.35892857,1022.5125,58.07186294,2021,3,10,70,122.5053093
2021/3/12,1.964285714,89.54545455,7.119642857,1025.175,89.3113583,2021,3,10,71,109.8105374
2021/3/13,1.714285714,167.4358974,10.14107143,1020.2,70.08685574,2021,3,10,72,112.0191727
2021/3/14,1.964285714,164.1463415,10.4,1012.25,78.61269658,2021,3,10,73,137.0173611
2021/3/15,6.696428571,288.5454545,7.853571429,1018.7625,19.08342392,2021,3,11,74,234.6093599
2021/3/16,2.267857143,165.4166667,10.18392857,1021.65,24.36649152,2021,3,11,75,35.6810163
2021/3/17,2.285714286,181.9047619,9.576785714,1022.875,46.95127888,2021,3,11,76,61.0192825
2021/3/18,1.692307692,170.5,6.579245283,1024.4875,73.62388702,2021,3,11,77,57.08250988
2021/3/19,1.732142857,211.3157895,6.235714286,1019.2625,77.14514584,2021,3,11,78,73.2954088
2021/3/20,8.446428571,309.6296296,8.135714286,1021.25,30.14301977,2021,3,11,79,32.3861715
2021/3/21,5.017857143,266.4814815,9.210714286,1023.875,21.32415114,2021,3,11,80,8.079399194
2021/3/22,3.803571429,235.6818182,12.51428571,1017.0625,28.01818349,2021,3,12,81,28.22448671
2021/3/23,2.357142857,166.6666667,14.41428571,1009.75,34.54022665,2021,3,12,82,40.58796296
2021/3/24,2.909090909,124.5454545,14.24363636,1018.4375,28.70572459,2021,3,12,83,43.32689741
2021/3/25,2.178571429,157.1428571,15.47678571,1016.4625,41.99608493,2021,3,12,84,55.60775064
2021/3/26,1.035714286,102.9032258,12.775,1011.875,85.49959443,2021,3,12,85,143.7097891
2021/3/27,2.964285714,160,14.26071429,1004.9375,72.55991909,2021,3,12,86,134.9548611
2021/3/28,6.107142857,298.7272727,14.33928571,1007.6,13.41262505,2021,3,12,87,142.6157911
2021/3/29,2.75,250.4347826,12.10357143,1009.85,31.85242768,2021,3,13,88,21.70568731
2021/3/30,2.857142857,167.8,15.05,1010.15,43.22376485,2021,3,13,89,56.58623708
2021/3/31,2.660714286,124.5833333,17.3,1013.4375,37.20216086,2021,3,13,90,55.96399241
2021/4/1,1.872727273,194.7619048,15.73636364,1017.571429,39.65266819,2021,4,13,91,77.66964286
2021/4/2,2.767857143,164.5098039,13.84821429,1020.0625,56.55448273,2021,4,13,92,33.72086353
2021/4/3,3.125,164.4,11.60178571,1024.9375,29.47085281,2021,4,13,93,14.46527778
2021/4/4,2.428571429,203.9130435,13.28392857,1024.1375,29.36654279,2021,4,13,94,6.194444444
2021/4/5,3.290909091,203.0952381,13.2375,1020.5875,43.45650272,2021,4,14,95,31.37269433
2021/4/6,2.109090909,193.4146341,14.18035714,1021.2,46.9585742,2021,4,14,96,32.08440171
2021/4/7,2.964285714,132.2916667,12.76964286,1023.7875,39.88906398,2021,4,14,97,42.88405797
2021/4/8,2.472727273,142.2,14.19272727,1022.314286,34.9407535,2021,4,14,98,35.75528382
2021/4/9,2.482142857,110.952381,11.97678571,1024.2125,34.30881967,2021,4,14,99,41.78985507
2021/4/10,2.375,155,15.37857143,1022.8,43.12404912,2021,4,14,100,67.37268519
2021/4/11,2.552727273,144.8979592,15.70727273,1019.942857,53.59497582,2021,4,14,101,58.35069444
2021/4/12,5.017857143,295.1020408,11.49464286,1019.225,41.65728693,2021,4,15,102,46.55872585
2021/4/13,4.739285714,259.173913,11.53571429,1019.9625,28.71784379,2021,4,15,103,5.847222222
2021/4/14,3.964285714,178.2692308,16.59642857,1012.575,26.71841775,2021,4,15,104,24.56944444
2021/4/15,5.964285714,253.5416667,14.45178571,1008.275,32.28530162,2021,4,15,105,70.38194444
